Date,Close
2015-01-02 16:00:00,5.03
2015-01-05 16:00:00,4.95
2015-01-06 16:00:00,4.8
2015-01-07 16:00:00,4.78
2015-01-08 16:00:00,4.97
2015-01-09 16:00:00,4.99
2015-01-12 16:00:00,4.92
2015-01-13 16:00:00,4.91
2015-01-14 16:00:00,4.93
2015-01-15 16:00:00,4.9
2015-01-16 16:00:00,4.99
2015-01-20 16:00:00,5.01
2015-01-21 16:00:00,5.08
2015-01-22 16:00:00,5.16
2015-01-23 16:00:00,5.18
2015-01-26 16:00:00,5.15
2015-01-27 16:00:00,4.91
2015-01-28 16:00:00,4.83
2015-01-29 16:00:00,4.95
2015-01-30 16:00:00,4.8
2015-02-02 16:00:00,4.91
2015-02-03 16:00:00,5.03
2015-02-04 16:00:00,5.04
2015-02-05 16:00:00,5.12
2015-02-06 16:00:00,5.1
2015-02-09 16:00:00,5.1
2015-02-10 16:00:00,5.24
2015-02-11 16:00:00,5.2
2015-02-12 16:00:00,5.58
2015-02-13 16:00:00,5.58
2015-02-17 16:00:00,5.59
2015-02-18 16:00:00,5.53
2015-02-19 16:00:00,5.54
2015-02-20 16:00:00,5.58
2015-02-23 16:00:00,5.54
2015-02-24 16:00:00,5.58
2015-02-25 16:00:00,5.54
2015-02-26 16:00:00,5.55
2015-02-27 16:00:00,5.52
2015-03-02 16:00:00,5.65
2015-03-03 16:00:00,5.55
2015-03-04 16:00:00,5.61
2015-03-05 16:00:00,5.72
2015-03-06 16:00:00,5.64
2015-03-09 16:00:00,5.65
2015-03-10 16:00:00,5.75
2015-03-11 16:00:00,5.72
2015-03-12 16:00:00,5.67
2015-03-13 16:00:00,5.68
2015-03-16 16:00:00,5.74
2015-03-17 16:00:00,5.81
2015-03-18 16:00:00,5.72
2015-03-19 16:00:00,5.8
2015-03-20 16:00:00,5.87
2015-03-23 16:00:00,5.68
2015-03-24 16:00:00,5.6
2015-03-25 16:00:00,5.26
2015-03-26 16:00:00,5.24
2015-03-27 16:00:00,5.35
2015-03-30 16:00:00,5.37
2015-03-31 16:00:00,5.23
2015-04-01 16:00:00,5.25
2015-04-02 16:00:00,5.27
2015-04-06 16:00:00,5.42
2015-04-07 16:00:00,5.47
2015-04-08 16:00:00,5.51
2015-04-09 16:00:00,5.63
2015-04-10 16:00:00,5.69
2015-04-13 16:00:00,5.64
2015-04-14 16:00:00,5.59
2015-04-15 16:00:00,5.66
2015-04-16 16:00:00,5.62
2015-04-17 16:00:00,5.55
2015-04-20 16:00:00,5.52
2015-04-21 16:00:00,5.51
2015-04-22 16:00:00,5.58
2015-04-23 16:00:00,5.56
2015-04-24 16:00:00,5.51
2015-04-27 16:00:00,5.55
2015-04-28 16:00:00,5.58
2015-04-29 16:00:00,5.54
2015-04-30 16:00:00,5.55
2015-05-01 16:00:00,5.69
2015-05-04 16:00:00,5.65
2015-05-05 16:00:00,5.51
2015-05-06 16:00:00,5.53
2015-05-07 16:00:00,5.62
2015-05-08 16:00:00,5.21
2015-05-11 16:00:00,5.16
2015-05-12 16:00:00,5.21
2015-05-13 16:00:00,5.24
2015-05-14 16:00:00,5.32
2015-05-15 16:00:00,5.33
2015-05-18 16:00:00,5.32
2015-05-19 16:00:00,5.26
2015-05-20 16:00:00,5.26
2015-05-21 16:00:00,5.22
2015-05-22 16:00:00,5.22
2015-05-26 16:00:00,5.18
2015-05-27 16:00:00,5.46
2015-05-28 16:00:00,5.54
2015-05-29 16:00:00,5.53
2015-06-01 16:00:00,5.6
2015-06-02 16:00:00,5.48
2015-06-03 16:00:00,5.43
2015-06-04 16:00:00,5.52
2015-06-05 16:00:00,5.57
2015-06-08 16:00:00,5.44
2015-06-09 16:00:00,5.47
2015-06-10 16:00:00,5.37
2015-06-11 16:00:00,5.43
2015-06-12 16:00:00,5.28
2015-06-15 16:00:00,5.27
2015-06-16 16:00:00,5.33
2015-06-17 16:00:00,5.4
2015-06-18 16:00:00,5.49
2015-06-19 16:00:00,5.47
2015-06-22 16:00:00,5.44
2015-06-23 16:00:00,5.31
2015-06-24 16:00:00,5.25
2015-06-25 16:00:00,5.29
2015-06-26 16:00:00,5.19
2015-06-29 16:00:00,5.03
2015-06-30 16:00:00,5.03
2015-07-01 16:00:00,5.1
2015-07-02 16:00:00,5.11
2015-07-06 16:00:00,5.04
2015-07-07 16:00:00,4.95
2015-07-08 16:00:00,4.91
2015-07-09 16:00:00,4.85
2015-07-10 16:00:00,4.94
2015-07-13 16:00:00,4.97
2015-07-14 16:00:00,4.97
2015-07-15 16:00:00,4.94
2015-07-16 16:00:00,5.05
2015-07-17 16:00:00,5.02
2015-07-20 16:00:00,4.93
2015-07-21 16:00:00,4.95
2015-07-22 16:00:00,4.85
2015-07-23 16:00:00,4.91
2015-07-24 16:00:00,4.86
2015-07-27 16:00:00,4.83
2015-07-28 16:00:00,4.93
2015-07-29 16:00:00,4.99
2015-07-30 16:00:00,5.01
2015-07-31 16:00:00,4.99
2015-08-03 16:00:00,5.07
2015-08-04 16:00:00,5.09
2015-08-05 16:00:00,5.15
2015-08-06 16:00:00,5.11
2015-08-07 16:00:00,5.75
2015-08-10 16:00:00,5.95
2015-08-11 16:00:00,5.92
2015-08-12 16:00:00,5.93
2015-08-13 16:00:00,5.88
2015-08-14 16:00:00,5.89
2015-08-17 16:00:00,5.85
2015-08-18 16:00:00,5.77
2015-08-19 16:00:00,5.75
2015-08-20 16:00:00,5.54
2015-08-21 16:00:00,5.37
2015-08-24 16:00:00,5.18
2015-08-25 16:00:00,5.07
2015-08-26 16:00:00,5.45
2015-08-27 16:00:00,5.66
2015-08-28 16:00:00,5.68
2015-08-31 16:00:00,5.62
2015-09-01 16:00:00,5.39
2015-09-02 16:00:00,5.55
2015-09-03 16:00:00,5.57
2015-09-04 16:00:00,5.44
2015-09-08 16:00:00,5.67
2015-09-09 16:00:00,5.56
2015-09-10 16:00:00,5.65
2015-09-11 16:00:00,5.66
2015-09-14 16:00:00,5.67
2015-09-15 16:00:00,5.74
2015-09-16 16:00:00,5.78
2015-09-17 16:00:00,5.83
2015-09-18 16:00:00,5.82
2015-09-21 16:00:00,5.88
2015-09-22 16:00:00,5.72
2015-09-23 16:00:00,5.75
2015-09-24 16:00:00,5.86
2015-09-25 16:00:00,5.9
2015-09-28 16:00:00,5.83
2015-09-29 16:00:00,5.93
2015-09-30 16:00:00,6.16
2015-10-01 16:00:00,6.04
2015-10-02 16:00:00,6.2
2015-10-05 16:00:00,6.36
2015-10-06 16:00:00,6.44
2015-10-07 16:00:00,6.51
2015-10-08 16:00:00,6.54
2015-10-09 16:00:00,6.52
2015-10-12 16:00:00,6.59
2015-10-13 16:00:00,6.6
2015-10-14 16:00:00,6.84
2015-10-15 16:00:00,6.86
2015-10-16 16:00:00,6.97
2015-10-19 16:00:00,6.95
2015-10-20 16:00:00,6.94
2015-10-21 16:00:00,6.85
2015-10-22 16:00:00,7.1
2015-10-23 16:00:00,7.15
2015-10-26 16:00:00,7.12
2015-10-27 16:00:00,7.11
2015-10-28 16:00:00,7.17
2015-10-29 16:00:00,6.92
2015-10-30 16:00:00,7.09
2015-11-02 16:00:00,7.18
2015-11-03 16:00:00,7.13
2015-11-04 16:00:00,7.01
2015-11-05 16:00:00,6.93
2015-11-06 16:00:00,7.89
2015-11-09 16:00:00,7.85
2015-11-10 16:00:00,7.7
2015-11-11 16:00:00,7.63
2015-11-12 16:00:00,7.6
2015-11-13 16:00:00,7.45
2015-11-16 16:00:00,7.6
2015-11-17 16:00:00,7.6
2015-11-18 16:00:00,7.76
2015-11-19 16:00:00,7.78
2015-11-20 16:00:00,7.85
2015-11-23 16:00:00,7.73
2015-11-24 16:00:00,7.79
2015-11-25 16:00:00,7.78
2015-11-27 16:00:00,7.85
2015-11-30 16:00:00,7.93
2015-12-01 16:00:00,8.19
2015-12-02 16:00:00,8.13
2015-12-03 16:00:00,8.11
2015-12-04 16:00:00,8.44
2015-12-07 16:00:00,8.28
2015-12-08 16:00:00,8.39
2015-12-09 16:00:00,8.18
2015-12-10 16:00:00,8.24
2015-12-11 16:00:00,8.12
2015-12-14 16:00:00,8.14
2015-12-15 16:00:00,8.24
2015-12-16 16:00:00,8.29
2015-12-17 16:00:00,8.17
2015-12-18 16:00:00,8.04
2015-12-21 16:00:00,8.22
2015-12-22 16:00:00,8.23
2015-12-23 16:00:00,8.26
2015-12-24 16:00:00,8.29
